กฏ 	กฎ 	  
เกมส์ 	เกม 	                
ก๊กกะ, กิ๊กกะ, กิกะ	จิกะ				
กฏหมาย	กฎหมาย			
กรกฏาคม	กรกฎาคม			
กระทั้ง	กระทั่ง			
กราฟฟิค, กราฟฟิก	กราฟิก			
กษัตรย์	กษัตริย์			
กิติมศักดิ์	กิตติมศักดิ์			
ขาดดุลย์	ขาดดุล			
คริสตศตวรรษ	คริสต์ศตวรรษ			
คริสตศักราช	คริสต์ศักราช			
คริสตศาสนา	คริสต์ศาสนา			
คริสต์กาล	คริสตกาล			
คริสต์เตียน	คริสเตียน			
คริสมาส, คริสมาสต์	คริสต์มาส			
คลีนิก	คลินิก			
คำนวน	คำนวณ			
เคเบิ้ล	เคเบิล			
จักรสาน	จักสาน			
โครงการณ์	โครงการ			
งบดุลย์	งบดุล			
ซอฟท์แวร์	ซอฟต์แวร์			
ซีรี่ส์, ซีรีย์, ซีรี่ย์	ซีรีส์			
เซ็นติ	เซนติ			
เซอร์เวอร์	เซิร์ฟเวอร์			
ฑูต	ทูต			
ดอทคอม, ด็อทคอม, ด็อตคอม	ดอตคอม			
ดอทเน็ท, ดอตเน็ท, ด็อตเน็ต, ด็อทเน็ต, ดอทเน็ต, ดอทเนท	ดอตเน็ต			
ถ่วงดุลย์	ถ่วงดุล			
ทะเลสาป	ทะเลสาบ				
เทมเพลท	เทมเพลต			
ธุระกิจ	ธุรกิจ			
นิวยอร์ค	นิวยอร์ก			
โน๊ต	โน้ต			
บรรได	บันได			
บรรเทิง	บันเทิง				
บราวเซอร์, เบราเซอร์	เบราว์เซอร์			
บล็อค, บล๊อค, บล๊อก	บล็อก			
เบรค	เบรก				
ไบท์	ไบต์				
ปฎิ	ปฏิ			
ปฏิกริยา, ปฎิกริยา	ปฏิกิริยา			
ปรากฎ	ปรากฏ			
ปราถนา	ปรารถนา			
ปีรามิด, ปิระมิด	พีระมิด			
โปรเจค, โปรเจคท์, โปรเจคต์, โปรเจ็ค, โปรเจ็คท์, โปรเจ็คต์	โปรเจกต์			
โปรโตคอล	โพรโทคอล			
ผลลัพท์	ผลลัพธ์			
ผูกพันธ์	ผูกพัน			
ฝรั่งเศษ	ฝรั่งเศส			
ฟังก์ชั่น	ฟังก์ชัน			
ภาพยนต์	ภาพยนตร์			
มิวสิค	มิวสิก			
ไมโครซอฟต์	ไมโครซอฟท์			
เยอรมันนี	เยอรมนี			
รถยนตร์	รถยนต์			
ร็อค	ร็อก			
ล็อค	ล็อก		
ลอส แองเจลิส, ลอส แองเจลลิส,ลอส แองเจลีส, ลอสแองเจลิส, ลอสแองเจลีส, ลอสแองเจลลิส, ลอสแองเจอลิส, ลอสแองเจอลีส, ลอสแอนเจลลิส	ลอสแอนเจลิส			
ลายเซ็นต์	ลายเซ็น			
ลิ้งค์, ลิ๊งค์, ลิ้งก์, ลิ๊งก์	ลิงก์			
เวคเตอร์	เวกเตอร์			
เวทย์มนตร์, เวทย์มนต์, เวทมนต์	เวทมนตร์			
เวบไซท์, เวบไซต์, เวบไซท์, เว็บไซท์, เว็บไซต	เว็บไซต์			
เวอร์ชั่น	เวอร์ชัน			
เวิล์ด	เวิลด์			
ศรีษะ	ศีรษะ			
สคริปท์, สครปต์	สคริปต์			
สเตชั่น	สเตชัน			
สมดุลย์	สมดุล			
สังเกตุ	สังเกต			
สวดมน, สวดมนตร์	สวดมนต์				
สวรรณคต	สวรรคต			
อโดบี	อะโดบี			
อะนิเม, อานิเมะ, อะนิเม	อนิเมะ				
อนุญาติ	อนุญาต			
อลูมิเนียม	อะลูมิเนียม			
ออบเจ็ค, ออปเจ็ค, ออปเจค	อ็อบเจกต์			
อัพเด็ต, อัพเดต, อัพเดท, อัปเด็ต	อัปเดต			
อัพโหลด	อัปโหลด			
อินเตอเน็ต, อินเตอร์เน็ต, อินเตอร์เนต, อินเทอร์เนต	อินเทอร์เน็ต			
อิเล็กโทรนิกส์	อิเล็กทรอนิกส์			
อิสระภาพ	อิสรภาพ			
เอ็กซ์	เอกซ์			
เอ็นจิ้น, เอ็นจิน, เอนจิ้น	เอนจิน			
เอล์ฟ	เอลฟ์			
เอาท์พุต, เอาท์พุท	เอาต์พุต			
แอปพลิเคชั่น, แอพพลิเคชั่น, แอพพลิเคชัน, แอพพลิคเคชัน	แอปพลิเคชัน			
